시도별,사육규모별,2017 1/4,,2017 1/2,,2017 3/4,,2018 ,,2018 1/4,,2018 1/2,,2018 3/4,,2019 ,,2019 1/4,,2019 1/2,,2019 3/4,,2020 ,,2020 1/4,,2020 1/2,,2020 3/4,,2021 ,,2021 1/4,,2021 1/2,,2021 3/4,
,,,마리수,,마리수,,마리수,,마리수,,마리수,,마리수,,마리수,,마리수,,마리수,,마리수,,마리수,,마리수,,마리수,,마리수,,마리수,,마리수,,마리수,,마리수,,마리수
,"1,000 미만",,"45,637",,"43,642",,"39,914",,"43,363",,"40,954",,"38,272",,"38,113",,"39,454",,"38,074",,"33,249",,"36,241",,"28,365",,"35,259",,"47,617",,"31,707",,"40,135",,"29,184",,"38,060",,"29,196"
,"1,000~5,000",,"271,200",,"264,918",,"248,357",,"268,637",,"257,581",,"274,972",,"288,922",,"290,910",,"278,872",,"290,001",,"297,856",,"292,886",,"262,666",,"242,159",,"262,868",,"257,607",,"272,909",,"261,705",,"254,846"
,"5,000~10,000",,"73,955",,"64,516",,"69,777",,"52,117",,"78,222",,"64,830",,"67,049",,"58,502",,"69,570",,"72,093",,"69,340",,"65,849",,"67,457",,"69,587",,"67,798",,"64,724",,"56,629",,"68,507",,"74,298"
,"10,000 이상",,"92,971",,"90,772",,"105,272",,"102,135",,"100,069",,"101,383",,"105,988",,"100,283",,"99,359",,"105,551",,"108,735",,"113,606",,"106,208",,"106,048",,"119,320",,"101,562",,"99,954",,"102,501",,"108,648"
충청북도,합계,,"622,693",,"612,638",,"644,918",,"648,769",,"646,933",,"650,682",,"676,635",,"639,932",,"629,006",,"632,680",,"640,238",,"600,971",,"599,565",,"598,868",,"647,098",,"614,951",,"614,535",,"636,162",,"655,271"
,"1,000 미만",,"67,326",,"62,534",,"59,094",,"62,874",,"50,546",,"58,201",,"54,978",,"51,938",,"42,549",,"55,389",,"50,338",,"52,840",,"52,453",,"58,148",,"55,730",,"42,619",,"57,500",,"51,562",,"43,601"
,"1,000~5,000",,"311,351",,"307,245",,"329,808",,"338,853",,"347,230",,"352,577",,"350,182",,"335,298",,"334,897",,"322,297",,"343,152",,"296,372",,"308,573",,"285,600",,"338,722",,"319,227",,"298,370",,"311,699",,"335,385"
,"5,000~10,000",,"110,118",,"126,865",,"119,662",,"123,112",,"106,773",,"106,225",,"131,413",,"119,332",,"129,775",,"130,166",,"121,334",,"132,413",,"132,347",,"146,835",,"121,950",,"120,787",,"142,579",,"154,050",,"133,695"
,"10,000 이상",,"133,897",,"115,994",,"136,354",,"123,930",,"142,384",,"133,680",,"140,061",,"133,363",,"121,785",,"124,828",,"125,413",,"119,346",,"106,192",,"108,285",,"130,696",,"132,318",,"116,086",,"118,850",,"142,590"
충청남도,합계,,"2,219,844",,"2,296,012",,"2,350,092",,"2,320,328",,"2,302,076",,"2,340,200",,"2,412,180",,"2,329,246",,"2,311,265",,"2,304,259",,"2,417,449",,"2,429,596",,"2,342,369",,"2,300,309",,"2,384,818",,"2,330,562",,"2,298,413",,"2,316,294",,"2,371,666"
,"1,000 미만",,"210,044",,"206,900",,"196,536",,"213,142",,"213,336",,"210,478",,"202,069",,"212,397",,"188,523",,"174,679",,"182,788",,"182,917",,"193,292",,"179,355",,"184,191",,"201,415",,"201,165",,"181,222",,"160,594"
,"1,000~5,000",,"1,312,302",,"1,290,251",,"1,337,591",,"1,277,578",,"1,321,300",,"1,283,559",,"1,399,157",,"1,345,587",,"1,360,221",,"1,325,156",,"1,334,124",,"1,341,713",,"1,336,752",,"1,317,187",,"1,404,526",,"1,361,653",,"1,299,615",,"1,335,958",,"1,381,145"
,"5,000~10,000",,"305,231",,"336,014",,"326,781",,"363,548",,"355,088",,"403,157",,"323,010",,"351,239",,"353,868",,"397,726",,"415,349",,"392,367",,"418,317",,"377,791",,"381,103",,"353,391",,"371,424",,"347,351",,"395,022"
,"10,000 이상",,"392,267",,"462,847",,"489,184",,"466,060",,"412,351",,"443,006",,"487,945",,"420,022",,"408,653",,"406,699",,"485,187",,"512,599",,"394,007",,"425,975",,"414,997",,"414,103",,"426,207",,"451,764",,"434,906"
전라북도,합계,,"1,319,177",,"1,329,052",,"1,378,392",,"1,342,634",,"1,341,097",,"1,365,662",,"1,394,528",,"1,352,113",,"1,328,692",,"1,360,273",,"1,394,127",,"1,406,178",,"1,417,821",,"1,410,282",,"1,465,279",,"1,379,487",,"1,410,221",,"1,420,136",,"1,453,421"
,"1,000 미만",,"130,978",,"140,880",,"138,195",,"139,413",,"121,776",,"125,362",,"133,800",,"128,743",,"131,847",,"140,473",,"141,234",,"132,143",,"162,314",,"157,217",,"134,129",,"133,410",,"134,026",,"130,839",,"126,367"
,"1,000~5,000",,"810,288",,"794,898",,"801,027",,"795,007",,"821,804",,"839,172",,"846,604",,"820,224",,"800,099",,"827,988",,"827,201",,"855,621",,"856,751",,"849,290",,"922,590",,"851,305",,"870,531",,"894,066",,"918,248"
,"5,000~10,000",,"214,111",,"227,847",,"257,389",,"235,694",,"221,093",,"248,163",,"256,358",,"236,206",,"258,793",,"252,929",,"271,960",,"278,768",,"285,726",,"276,733",,"258,311",,"254,619",,"270,443",,"261,233",,"272,445"
,"10,000 이상",,"163,800",,"165,428",,"181,781",,"172,520",,"176,424",,"152,965",,"157,765",,"166,941",,"137,953",,"138,884",,"153,732",,"139,646",,"113,030",,"127,042",,"150,249",,"140,153",,"135,221",,"133,998",,"136,360"
전라남도,합계,,"1,016,783",,"1,054,001",,"1,086,241",,"1,076,418",,"1,078,405",,"1,097,079",,"1,125,571",,"1,108,605",,"1,104,120",,"1,134,683",,"1,174,435",,"1,165,359",,"1,182,278",,"1,170,600",,"1,187,836",,"1,177,077",,"1,191,799",,"1,188,924",,"1,204,225"
,"1,000 미만",,"106,446",,"100,515",,"109,445",,"99,873",,"87,504",,"75,554",,"83,086",,"81,978",,"66,438",,"68,628",,"67,056",,"61,936",,"62,973",,"64,971",,"79,921",,"67,584",,"76,920",,"86,518",,"77,785"
,"1,000~5,000",,"589,524",,"603,409",,"584,949",,"556,053",,"567,179",,"582,045",,"600,071",,"578,664",,"590,334",,"599,009",,"614,083",,"604,669",,"637,652",,"618,913",,"599,504",,"598,147",,"581,408",,"573,766",,"571,538"
,"5,000~10,000",,"166,817",,"178,347",,"202,235",,"232,823",,"228,365",,"224,619",,"228,090",,"219,820",,"217,671",,"216,705",,"238,076",,"244,099",,"231,348",,"237,976",,"249,368",,"255,361",,"258,603",,"258,988",,"282,167"
,"10,000 이상",,"153,996",,"171,731",,"189,612",,"187,668",,"195,356",,"214,861",,"214,324",,"228,143",,"229,677",,"250,340",,"255,220",,"254,655",,"250,304",,"248,740",,"259,043",,"255,984",,"274,868",,"269,652",,"272,736"
경상북도,합계,,"1,401,514",,"1,440,721",,"1,451,688",,"1,442,379",,"1,375,570",,"1,412,566",,"1,474,179",,"1,438,112",,"1,433,293",,"1,408,260",,"1,469,957",,"1,490,559",,"1,442,976",,"1,487,331",,"1,497,417",,"1,457,092",,"1,489,725",,"1,476,099",,"1,500,980"
,"1,000 미만",,"116,289",,"114,159",,"131,704",,"122,761",,"119,109",,"122,353",,"102,138",,"91,749",,"94,516",,"118,626",,"105,113",,"108,526",,"105,763",,"118,628",,"101,291",,"106,894",,"100,028",,"89,604",,"95,748"
,"1,000~5,000",,"793,355",,"809,031",,"800,174",,"794,647",,"798,524",,"805,097",,"877,619",,"866,591",,"846,234",,"797,291",,"820,176",,"823,134",,"804,985",,"824,577",,"876,494",,"841,912",,"882,718",,"874,871",,"878,605"
,"5,000~10,000",,"229,795",,"261,629",,"221,505",,"253,015",,"207,502",,"236,390",,"238,899",,"218,951",,"209,713",,"207,008",,"256,640",,"252,189",,"281,718",,"287,838",,"254,942",,"286,950",,"278,232",,"305,145",,"290,547"
,"10,000 이상",,"262,076",,"255,902",,"298,306",,"271,956",,"250,434",,"248,726",,"255,523",,"260,821",,"282,830",,"285,336",,"288,028",,"306,709",,"250,510",,"256,289",,"264,690",,"221,336",,"228,747",,"206,479",,"236,080"
경상남도,합계,,"1,276,928",,"1,274,049",,"1,277,744",,"1,246,781",,"1,248,963",,"1,246,043",,"1,279,576",,"1,265,366",,"1,282,929",,"1,295,021",,"1,276,020",,"1,273,091",,"1,368,339",,"1,315,791",,"1,293,052",,"1,272,418",,"1,339,837",,"1,327,133",,"1,345,597"
,"1,000 미만",,"95,689",,"109,746",,"103,010",,"92,481",,"117,202",,"108,993",,"108,901",,"103,697",,"108,900",,"97,091",,"96,406",,"100,863",,"104,615",,"101,820",,"89,005",,"70,448",,"91,793",,"91,805",,"77,814"
,"1,000~5,000",,"777,503",,"762,920",,"767,307",,"780,629",,"743,448",,"747,318",,"773,546",,"786,346",,"805,124",,"815,933",,"782,388",,"801,557",,"886,023",,"845,261",,"815,470",,"822,736",,"837,495",,"821,049",,"862,441"
,"5,000~10,000",,"197,788",,"195,909",,"212,968",,"198,427",,"179,734",,"184,751",,"198,497",,"184,158",,"199,587",,"206,606",,"215,742",,"191,206",,"187,572",,"179,767",,"196,749",,"203,047",,"224,193",,"236,919",32,"215,022"
,"10,000 이상",,"205,947",,"205,474",,"194,459",,"175,243",,"208,579",,"204,981",,"198,633",,"191,165",,"169,318",,"175,391",,"181,484",,"179,464",,"190,129",,"188,943",,"191,827",,"176,188",,"186,357",,"177,359",12,"190,320"
제주도,합계,,"543,840",,"558,597",,"549,913",,"541,273",,"529,292",,"531,335",,"541,333",,"534,113",,"522,523",,"529,510",,"555,109",,"551,168",,"532,108",,"529,946",,"539,419",,"523,450",,"511,595",,"527,634",257,"552,198"
,"1,000 미만",,"39,963",,"43,956",,"43,423",,"45,979",,"45,180",,"49,075",,"44,166",,"42,955",,"46,001",,"47,265",,"39,154",,"43,899",,"41,349",,"46,556",,"39,684",,"34,616",,"38,529",,"31,998",63,"32,423"
,"1,000~5,000",,"389,538",,"389,451",,"384,869",,"374,865",,"365,806",,"360,271",,"378,063",,"368,250",,"363,446",,"353,317",,"382,071",,"369,398",,"358,029",,"357,275",,"388,507",,"369,300",,"361,896",,"384,594",183,"398,743"
,"5,000~10,000",,"30,799",,"40,379",,"36,183",,"36,270",,"35,490",,"35,612",,"34,164",,"38,232",,"28,193",,"44,687",,"45,795",,"50,805",,"46,187",,"40,227",,"36,753",,"45,760",,"37,940",,"37,568",7,"46,627"
,"10,000 이상",,"83,540",,"84,811",,"85,438",,"84,159",,"82,816",,"86,377",,"84,940",,"84,676",,"84,882",,"84,240",,"88,088",,"87,066",,"86,543",,"85,888",,"74,475",,"73,774",,"73,231",,"73,474",5,"74,405"
